iter	Passed	Remaining
1269	63194	235362
1270	63241	235301
1271	63284	235226
1272	63329	235159
1273	63374	235094
1274	63424	235043
1275	63483	235028
1276	63530	234968
1277	63581	234924
1278	63630	234869
1279	63674	234798
1280	63722	234744
1281	63770	234686
1282	63824	234653
1283	63874	234605
1284	63927	234568
1285	63977	234518
1286	64026	234465
1287	64075	234411
1288	64125	234363
1289	64177	234321
1290	64221	234252
1291	64269	234197
1292	64319	234148
1293	64367	234091
1294	64416	234036
1295	64465	233984
1296	64517	233943
1297	64562	233877
1298	64612	233828
1299	64665	233789
1300	64711	233726
1301	64758	233669
1302	64812	233634
1303	64862	233584
1304	64909	233524
1305	64965	233499
1306	65011	233434
1307	65062	233387
1308	65109	233329
1309	65156	233268
1310	65198	233192
1311	65242	233122
1312	65284	233046
1313	65332	232988
1314	65387	232960
1315	65443	232930
1316	65500	232907
1317	65548	232850
1318	65603	232818
1319	65652	232768
1320	65698	232704
1321	65748	232655
1322	65799	232610
1323	65848	232560
1324	65897	232506
1325	65952	232476
1326	66003	232428
1327	66051	232372
1328	66102	232327
1329	66152	232278
1330	66205	232240
1331	66252	232180
1332	66309	232157
1333	66364	232126
1334	66419	232094
1335	66472	232057
1336	66529	232030
1337	66578	231980
1338	66629	231934
1339	66677	231877
1340	66725	231821
1341	66775	231772
1342	66823	231718
1343	66869	231655
1344	66917	231600
1345	66965	231542
1346	67010	231475
1347	67060	231428
1348	67110	231378
1349	67158	231324
1350	67203	231256
1351	67249	231196
1352	67300	231150
1353	67350	231102
1354	67398	231045
1355	67446	230989
1356	67495	230936
1357	67544	230885
1358	67598	230849
1359	67645	230791
1360	67698	230751
1361	67748	230701
1362	67800	230661
1363	67851	230615
1364	67900	230563
1365	67946	230502
1366	67995	230448
1367	68047	230406
1368	68094	230348
1369	68145	230303
1370	68199	230267
1371	68252	230227
1372	68299	230167
1373	68344	230101
1374	68395	230057
1375	68450	230027
1376	68504	229991
1377	68555	229944
1378	68607	229902
1379	68655	229845
1380	68701	229784
1381	68750	229732
1382	68801	229686
1383	68848	229627
1384	68898	229577
1385	68944	229517
1386	68990	229453
1387	69039	229401
1388	69089	229353
